web-scraper-order,web-scraper-start-url,links,links-href,Name,Address,Pincode,Phone,Business_hours,
1674918166-408,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Yash Pharma Laboratories Pvt Ltd,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43585/yash-pharma-laboratories-pvt-ltd,Yash Pharma Laboratories Pvt Ltd,"14 Ruby House 3rd Floor, L J Road, Mahim, Mumbai",400016,(022) 45108720,Monday-Sunday 8am - 9pm,
1674918197-409,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Worli Medical Store,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43413/worli-medical-store,Worli Medical Store,"Shop No 6, Hargun House, Opposite Buddha Temple, Dr Annie Besant Road, Worli, Mumbai",400018,(022) 24983249,Monday-Sunday 8am - 9pm,
1674918227-410,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wordell Chemists,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43396/wordell-chemists,Wordell Chemists,"Braborne Stadium House, Opposite Union Bank Of India, Veer Nariman Road, Churchgate, Mumbai",400020,(022) 22820768,Monday-Sunday 8am - 9pm,
1674918258-411,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Hinduja,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43378/wellness-hinduja,Wellness Hinduja,"Shop No 2 &amp; 3, Aradhana Bldg, Opp P D Hinduja National Hospital, Veer Savarkar Marg, Mahim, Mumbai",400016,(022) 24448827,Monday-Sunday 8am - 9pm,
1674918289-412,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever Medicare Pvt.Ltd.,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43578/wellness-forever-medicare-pvtltd,Wellness Forever Medicare Pvt.Ltd.,"Plot No 40/A, 3rd Floor, Manoj Industrial Estate, Near Ram Mandir, G D Ambedkar Marg, Wadala, Mumbai",400031,(022) 61610962,Monday-Sunday 8am - 9pm,
1674918319-413,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever Medicare Pvt.Ltd.,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43462/wellness-forever-medicare-pvtltd,Wellness Forever Medicare Pvt.Ltd.,"Plot No. 16, Ambadi Road, Vasai Road West, Thane",401202,(0250) 2341055,Monday-Sunday 8am - 9pm,
1674918350-414,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever Medicare Pvt.Ltd.,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43438/wellness-forever-medicare-pvtltd,Wellness Forever Medicare Pvt.Ltd.,"Shop No.13/14, Ground Floor, Wing 'a, Rose Flower Valley Building, Kalyan, Thane",421304,(022) 61630834,Monday-Sunday 8am - 9pm,
1674918381-415,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever Medicare Pvt.Ltd.,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43268/wellness-forever-medicare-pvtltd,Wellness Forever Medicare Pvt.Ltd.,"JAI Mata Di, GMS Building, Ground Floor, Parel, Mumbai",400012,(022) 67305504,Monday-Sunday 8am - 9pm,
1674918411-416,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever Medicare Pvt Ltd,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43389/wellness-forever-medicare-pvt-ltd,Wellness Forever Medicare Pvt Ltd,"Shop No.3, Ground Floor, Kailash Kiran No. 1, Tilak Road, Ghatkopar East, Mumbai",400077,(022) 21029014,Monday-Sunday 8am - 9pm,
1674918442-417,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever Medicare Pvt Ltd,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43278/wellness-forever-medicare-pvt-ltd,Wellness Forever Medicare Pvt Ltd,"Shop No 10 Ground Floor, La-View Shoping Center, Jacob Circle, B J Marge, Mahalaxmi, Mumbai",400011,(022) 61630869,Monday-Sunday 8am - 9pm,
